CODIGO MUNICIPIO;LATITUDE;LONGITUDE
520120;-18.33;-48.21
350230;-22.78;-48.12
350240;-22.29;-51.38
520130;-16.46;-49.96
220070;-9.18;-43.04
420100;-27.68;-51.13
420110;-27.9;-49.12
130010;-3.77;-61.64
430070;-28.96;-52
290160;-10.39;-38.33
410120;-25.42;-48.71
230080;-6.77;-39.98
220080;-7.21;-44.19
290170;-12.43;-39.11
420120;-27.51;-48.76
310290;-21.31;-43.74
310300;-19.65;-42.87
290180;-10.57;-40.27
500090;-22.19;-55.94
240090;-6.21;-37.9
410130;-25.98;-50.19
430080;-28.85;-51.28
310310;-21.01;-42.1
350250;-22.84;-45.22
250077;-6.78;-38.08
520140;-16.82;-49.24
520145;-18.29;-51.14
170110;-9.95;-47.97
500100;-20.08;-51.09
350260;-20.44;-50.88
330015;-21.62;-42.1
320050;-21.15;-41.56
510080;-9.54;-57.44
350270;-24.5;-48.84
210083;-1.46;-45.1
420125;-27.03;-49.38
240100;-5.66;-37.79
290190;-11.65;-38.08
520150;-18.96;-51.92
290195;-13.85;-39.74
410140;-23.55;-51.46
130014;-7.19;-59.89
230090;-3.94;-39.43
280020;-10.28;-37.01
500110;-20.47;-55.78
230100;-3.9;-38.39
420127;-27.15;-52.14
250080;-6.85;-35.38
310320;-19.19;-44.24
280030;-10.91;-37.07
350275;-23.43;-47.06
290205;-12.22;-38.2
230110;-4.56;-37.77
290200;-14.42;-41.46
350280;-21.2;-50.43
290210;-11.33;-38.96
310330;-21.34;-43.37
230120;-4.37;-38.81
260105;-7.78;-35.09
350290;-23.5;-47.61
320060;-19.81;-40.27
520160;-16.35;-49.68
310340;-16.85;-42.06
520170;-15.89;-52.25
520180;-16.91;-49.45
170130;-7.16;-48.52
170190;-8.8;-49.55
170200;-12.93;-49.82
510100;-15.73;-51.83
170210;-7.19;-48.2
510120;-16.85;-53.03
170215;-6.58;-48.64
210087;-2.95;-45.66
520215;-15.09;-50.63
310350;-18.64;-48.18
170220;-5.65;-48.12
210090;-2.89;-41.9
500124;-22.93;-55.63
290220;-12.08;-38.49
430085;-30.91;-51.49
210095;-4.73;-45.9
350300;-20.09;-47.78
350310;-23.13;-49.05
310360;-21.91;-44.25
350315;-22.67;-44.44
270030;-9.75;-36.66
170230;-7.65;-49.06
310370;-20.66;-42.52
410150;-23.41;-51.42
310375;-18.43;-49.18
410160;-24.15;-49.82
310380;-19.03;-46.15
410165;-24.31;-51.78
510125;-15.47;-58.35
420130;-26.37;-48.72
250090;-6.82;-35.75
420140;-28.93;-49.48
350320;-21.79;-48.17
350330;-22.35;-47.38
230125;-4.75;-40.83
210100;-3.45;-44.77
430087;-29.61;-50.92
230130;-7.21;-40.04
260110;-7.57;-40.49
330020;-22.87;-42.34
410170;-23.93;-52.49
250100;-6.55;-35.74
290225;-15.26;-39.41
430090;-27.39;-52.29
230140;-4.41;-39.04
290230;-13.07;-39
280040;-11.26;-37.61
410180;-25.59;-49.4
310390;-19.94;-45.16
310400;-19.59;-46.94
310410;-21.36;-46.93
350335;-21.77;-50.46
310420;-20.28;-45.53
260120;-8.41;-37.05
310430;-21.35;-46.14
330022;-22.23;-43.1
350340;-22.02;-48.91
250110;-6.96;-35.69
280050;-10.75;-37.31
240110;-4.95;-37.13
250115;-7.12;-36.94
250120;-7.04;-35.93
350350;-22.57;-44.69
350360;-22.66;-48.66
510130;-14.44;-56.84
520235;-16.38;-51.56
240120;-6.19;-35.15
310440;-21.61;-42.83
310445;-17.86;-42.55
310450;-15.91;-46.1
510140;-10.16;-59.45
110002;-9.91;-63.04
350370;-21.18;-48.78
410185;-24.38;-51.58
330023;-22.74;-41.88
420150;-28.26;-49.01
230150;-6.32;-40.16
220090;-6.11;-41.79
250130;-7.54;-35.7
220095;-7.27;-41.56
220100;-6.65;-42.53
330025;-22.96;-42.02
170240;-12.93;-46.93
430100;-29.4;-51.94
430107;-31.44;-52.42
430105;-29.55;-49.88
430120;-29.33;-53.09
430110;-30.07;-51.72
430130;-32.23;-53.08
420160;-26.93;-51.33
350380;-22.57;-47.17
520250;-14.92;-51.08
350390;-23.39;-46.32
420165;-27.07;-52.45
430140;-28.87;-52.17
420170;-26.95;-49.37
350395;-20.15;-50.73
410190;-23.37;-50.84
230160;-6.87;-39.87
350400;-22.66;-50.41
120005;-10.94;-69.56
410200;-24.42;-53.52
250135;-7.07;-36.73
220105;-5.19;-41.04
310460;-21.31;-42.86
410210;-23.23;-51.66
410220;-23.15;-52.05
270040;-9.5;-36.02
130020;-4.37;-70.19
420180;-27.42;-49.78
310470;-18.04;-41.11
350410;-23.11;-46.54
320070;-20.91;-41.19
170255;-5.46;-47.88
150090;-1.02;-46.64
310480;-18.1;-44.26
430150;-28.51;-53.99
240130;-5.86;-37.31
430155;-27.69;-52.04
290240;-14.31;-39.32
350420;-20.68;-50.55
520260;-16.68;-50.46
420190;-27.31;-49.63
230170;-6.94;-38.96
150095;-2.13;-47.56
170270;-12.71;-46.4
130030;-3.57;-59.13
350430;-22.14;-49.33
350440;-21.46;-49.95
350450;-23.09;-48.92
150100;-3.6;-55.33
220110;-10.13;-43.94
520280;-16.46;-49.75
210110;-2.83;-44.05
170290;-5.61;-47.76
170300;-7.2;-47.75
210120;-4.22;-44.77
210125;-2.97;-44.31
210130;-1.7;-45.13
210135;-2.7;-44.73
350460;-20.91;-49.44
310490;-21.95;-44.88
430160;-31.33;-54.1
150110;-1.89;-50.16
250140;-6.68;-34.93
240140;-6.36;-35
290250;-12.3;-44.53
150120;-2.79;-49.67
290260;-11.96;-40.16
220115;-7.84;-45.21
230180;-6.73;-38.71
320080;-19.51;-41.01
350470;-21.89;-49.35
310500;-19.28;-43.95
520310;-16.19;-52.54
420195;-28.98;-49.41
420205;-26.45;-48.61
420200;-26.99;-48.63
420207;-29.15;-49.57
421280;-26.76;-48.67
430163;-30.24;-50.23
410230;-25.58;-49.63
350480;-20.73;-49.58
210140;-7.53;-46.03
310510;-20;-45.97
230185;-5.3;-38.92
350490;-22.68;-44.32
250150;-6.75;-35.63
310520;-15.88;-40.55
310530;-21.72;-46.38
420208;-26.76;-53.63
500150;-19.91;-54.36
410240;-23.11;-50.36
170305;-7.75;-48.58
150125;-7.34;-50.39
290265;-10.57;-38.61
430165;-29.37;-51.49
350500;-23.62;-49.56
310540;-19.94;-43.48
430170;-27.62;-52.38
210150;-6.75;-43.02
510160;-16.27;-55.95
310550;-21.24;-42.23
430175;-30.38;-51.73
240145;-5.07;-37.61
250153;-6.64;-36.25
310560;-21.22;-43.77
230190;-7.3;-39.3
350510;-21.26;-49.94
410250;-24.03;-52.01
150130;-1.5;-48.62
240150;-5.95;-35.92
130040;-0.97;-62.92
350520;-22.07;-48.74
290270;-11.08;-43.14
420209;-26.65;-53.43
350530;-22.49;-48.55
290280;-13.62;-41.32
220117;-6.51;-42.11
260130;-8.42;-35.65
250160;-6.71;-36.06
250157;-7.51;-36
270050;-9.4;-35.5
320090;-18.75;-40.89
250170;-7.75;-36.31
270060;-9.84;-35.9
510170;-15.07;-57.18
350535;-24.47;-49.02
290290;-14.88;-40.57
210160;-5.5;-45.24
510180;-15.89;-52.25
430185;-27.19;-53.7
410270;-23.11;-50.18
290300;-11.81;-42.05
170307;-7.68;-47.68
330030;-22.46;-43.82
430187;-30.2;-57.55
430190;-30.29;-51.3
430192;-27.4;-52.4
290310;-14.21;-39.6
350540;-24.75;-48.5
280060;-10.9;-37.03
430195;-27.92;-53.03
310570;-20.28;-43.04
330040;-22.54;-44.17
420210;-26.63;-48.68
410260;-26.25;-53.63
430180;-27.67;-51.46
220120;-4.24;-42.29
230195;-4.28;-38.64
290320;-12.15;-44.99
220130;-9.92;-45.47
130050;-2.79;-57.06
210170;-2.74;-42.82
260140;-8.81;-35.18
350550;-20.55;-48.56
350560;-21.19;-48.16
230200;-7.17;-38.78
520320;-14.97;-48.91
290323;-11.76;-41.91
220140;-5.81;-42.51
290330;-14.81;-39.47
290327;-11.52;-39.07
170310;-9.83;-48.72
230205;-3.01;-41.13
430200;-29.09;-52.58
310590;-21.18;-43.97
350570;-23.51;-46.87
350580;-21.92;-50.73
500190;-21.71;-52.42
220150;-4.02;-42.07
270070;-9.67;-37.12
350590;-20.89;-47.58
500200;-22.29;-53.27
230210;-4.32;-38.88
350600;-22.31;-49.06
250180;-7.12;-34.93
350610;-20.94;-48.47
230220;-4.17;-38.13
230230;-3.05;-40.16
500210;-22.1;-56.52
410275;-25.88;-53.66
520330;-16.97;-48.95
310600;-19.82;-43.09
210177;-3.73;-45.31
410280;-22.99;-51.19
220155;-7.98;-41.86
420213;-26.27;-50.46
210173;-3.15;-43.5
150140;-1.45;-48.5
270080;-9.57;-36.49
250190;-6.74;-35.51
260150;-8.61;-35.8
260160;-8.75;-38.96
250200;-6.18;-37.53
220157;-7.37;-40.97
330045;-22.76;-43.39
310610;-21.94;-43.41
420215;-26.84;-53.57
290340;-15.86;-38.88
290350;-15.03;-41.25
310620;-19.81;-43.95
260170;-8.33;-36.42
270090;-9.82;-37.27
310630;-19.21;-42.48
310640;-20.4;-44.02
150145;-2.63;-54.93
220160;-5.45;-42.36
210180;-7.22;-44.55
420220;-26.78;-49.36
150150;-1.36;-48.24
130060;-4.38;-70.03
430205;-27.51;-52.59
350620;-21.27;-50.81
240160;-5.69;-35.81
430210;-29.17;-51.51
210190;-2.44;-44.78
310650;-16.95;-42.46
310665;-15.61;-41.74
250205;-6.45;-38.55
350630;-23.01;-49.47
210193;-4.58;-44.76
170320;-7.87;-48.88
350635;-23.85;-46.13
220170;-7.64;-43.95
310660;-17.06;-40.57
130063;-3.89;-61.37
260180;-8.27;-38.03
220173;-8.14;-40.79
310670;-19.96;-44.19
260190;-8.23;-35.79
310680;-21.6;-43.75
310690;-21.72;-43.05
420230;-27.49;-48.65
350640;-21.4;-50.47
310700;-18.78;-45.5
350650;-21.28;-50.34
350660;-23.57;-46.03
290360;-11.61;-38.79
410290;-26.16;-51.55
420240;-26.91;-49.06
410300;-24.24;-52.78
310710;-21.09;-45.56
320100;-18.54;-40.29
410302;-25.63;-53.21
350670;-21.99;-48.39
220177;-4.41;-42.08
290370;-14.36;-40.2
250210;-7.41;-38.21
410304;-24.86;-51.62
230240;-5.12;-39.73
140010;2.81;-60.67
250215;-7.25;-36.24
410305;-25.43;-53.4
430215;-27.66;-53.31
430220;-27.66;-54.11
430222;-28.6;-53.81
210197;-1.78;-46.3
430223;-28.81;-53.38
130068;-2.97;-57.59
430225;-29.35;-51.67
290380;-12.65;-40.6
270100;-9.64;-36.22
130070;-8.75;-67.39
350680;-22.13;-48.51
220180;-6.94;-41.32
310720;-22.16;-44.39
420243;-27.74;-49.94
310730;-17.1;-43.81
410310;-25.2;-49.11
240165;-5.98;-36.41
260200;-7.77;-39.94
500215;-20.53;-56.71
350690;-23.1;-48.25
350700;-23.28;-47.67
260210;-9.17;-36.68
310740;-19.73;-45.25
210200;-3.56;-45.99
330050;-22.15;-42.41
260220;-7.79;-35.58
420250;-28.33;-49.62
520340;-16.2;-52.17
310750;-21.94;-44.19
420253;-26.73;-52.39
430230;-28.66;-50.41
220190;-9.07;-44.35
250220;-6.81;-38.65
240170;-5.98;-35.58
290390;-13.25;-43.41
310760;-21.01;-46.52
290395;-14.37;-40.5
210203;-4.42;-46.76
520350;-18.21;-49.74
310770;-19.7;-43.47
510185;-12.17;-51.5
310780;-19.82;-42.31
330060;-21.13;-41.68
320110;-21.11;-41.67
420257;-26.69;-53.09
410315;-26.19;-53.59
150157;-5.05;-48.6
170330;-8.96;-48.16
350710;-23.13;-46.46
210207;-4.21;-45.03
430235;-29.48;-51.35
220191;-3.19;-41.64
430237;-27.54;-53.86
310790;-22.47;-46.14
420260;-27.79;-49.48
430240;-29.6;-51.94
410320;-23.7;-51.76
310800;-21.03;-44.75
250230;-6.44;-37.92
350715;-24.31;-49.14
410322;-26.07;-52.83
420245;-27.13;-48.51
140015;3.35;-59.83
310810;-20.32;-44.23
220192;-9.16;-42.87
520355;-16.61;-48.96
310820;-16.56;-45.99
290400;-12.7;-41.82
500220;-21.12;-56.48
150160;-1.36;-47.3
290405;-11.96;-41.26
260230;-8.47;-35.72
310825;-15.32;-44.75
250240;-7.31;-38.51
520357;-13.63;-49.81
250250;-7.48;-36.13
430245;-29.3;-52.42
220194;-4.48;-42.07
280067;-11.14;-37.62
290410;-12.82;-42.73
350720;-22.27;-50.53
350730;-22.19;-48.77
130080;-4.38;-59.59
350740;-21.62;-49.07
250270;-6.8;-35.62
310830;-22.27;-46.16
350745;-22.56;-48.97
410330;-23.94;-51.58
430250;-28.72;-54.9
310840;-21.63;-46.39
350750;-22.88;-48.44
310850;-16.87;-43.01
290420;-13.38;-42.52
420270;-27.19;-49.07
430258;-28.36;-53.77
420280;-28.27;-49.16
420285;-27.35;-49.88
430260;-27.61;-53.73
150170;-1.06;-46.77
350760;-22.95;-46.54
410335;-24.81;-53.12
270110;-9.24;-36.01
310870;-20.92;-43.24
150172;-3.26;-52.66
500230;-21.25;-52.03
310855;-17.01;-46
410337;-24.19;-53.52
170360;-8.38;-48.48
120010;-11.01;-68.74
220196;-4.13;-41.78
530010;-15.77;-47.93
310860;-16.2;-44.42
510190;-12.15;-57.97
310890;-22.47;-45.6
350770;-21.49;-50.31
310880;-19.05;-42.71
520360;-16.43;-49.38
260240;-9.02;-36.56
320115;-20.14;-41.29
260250;-7.34;-37.28
240180;-6.19;-35.35
170370;-11;-48.56
210210;-3.68;-42.75
350775;-21.16;-50.18
260260;-8.14;-36.37
210215;-4.33;-45.58
